GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
265098663,Root,0,GAME_OVER,283,16,4,2,MCTS,3.0,0.0,13.0,7.0,MCTS1,RHEA,RHEA1,3,MCTS,3,4,4,1,1,2,MCTS1,2,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,0
1028673814,Root,0,GAME_OVER,700,31,4,3,MCTS,24.0,0.0,30.0,16.0,MCTS1,RHEA,RHEA1,2,MCTS,2,4,4,1,1,3,MCTS1,3,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,3
-862709668,Root,0,GAME_OVER,443,24,4,4,MCTS,6.0,0.0,14.0,11.0,MCTS1,RHEA,RHEA1,3,MCTS,3,4,4,1,1,2,MCTS1,2,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,0
-217395547,Root,0,GAME_OVER,809,31,4,5,MCTS,29.0,14.0,31.0,16.0,MCTS1,RHEA,RHEA1,2,MCTS,2,4,4,1,1,3,MCTS1,3,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,3
-845120214,Root,0,GAME_OVER,911,37,4,6,MCTS,31.0,9.0,18.0,21.0,MCTS1,RHEA,RHEA1,1,MCTS,1,4,4,3,3,2,MCTS1,2,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,1
-1045114351,Root,0,GAME_OVER,1044,41,4,7,MCTS,0.0,18.0,28.0,27.0,MCTS1,RHEA,RHEA1,4,MCTS,4,3,3,1,1,2,MCTS1,2,RHEA,RHEA1,MCTS1,MCTS,RHEA1,RHEA,1
265098663,Root,0,GAME_OVER,720,31,4,8,MCTS,17.0,14.0,30.0,15.0,MCTS1,RHEA1,RHEA,2,MCTS,2,4,4,1,1,3,MCTS1,3,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,3
1028673814,Root,0,GAME_OVER,385,20,4,9,MCTS,2.0,0.0,10.0,15.0,MCTS1,RHEA1,RHEA,3,MCTS,3,4,4,2,2,1,MCTS1,1,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,0
-862709668,Root,0,GAME_OVER,535,23,4,10,MCTS,10.0,15.0,33.0,13.0,MCTS1,RHEA1,RHEA,4,MCTS,4,2,2,1,1,3,MCTS1,3,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,3
-217395547,Root,0,GAME_OVER,693,27,4,11,MCTS,22.0,12.0,32.0,16.0,MCTS1,RHEA1,RHEA,2,MCTS,2,4,4,1,1,3,MCTS1,3,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,3
-845120214,Root,0,GAME_OVER,335,16,4,12,MCTS,3.0,0.0,9.0,6.0,MCTS1,RHEA1,RHEA,3,MCTS,3,4,4,1,1,2,MCTS1,2,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,0
-1045114351,Root,0,GAME_OVER,824,33,4,13,MCTS,34.0,10.0,22.0,16.0,MCTS1,RHEA1,RHEA,1,MCTS,1,4,4,2,2,3,MCTS1,3,RHEA1,RHEA,MCTS1,MCTS,RHEA,RHEA1,1
265098663,Root,0,GAME_OVER,642,27,4,14,MCTS,0.0,0.0,30.0,15.0,RHEA,MCTS1,RHEA1,3,MCTS,3,3,3,1,1,2,RHEA,2,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,3
1028673814,Root,0,GAME_OVER,306,16,4,15,MCTS,0.0,0.0,11.0,7.0,RHEA,MCTS1,RHEA1,3,MCTS,3,3,3,1,1,2,RHEA,2,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,0
-862709668,Root,0,GAME_OVER,646,27,4,16,MCTS,5.0,11.0,30.0,21.0,RHEA,MCTS1,RHEA1,4,MCTS,4,3,3,1,1,2,RHEA,2,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,3
-217395547,Root,0,GAME_OVER,784,29,4,17,MCTS,3.0,13.0,31.0,17.0,RHEA,MCTS1,RHEA1,4,MCTS,4,3,3,1,1,2,RHEA,2,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,3
-845120214,Root,0,GAME_OVER,579,23,4,18,MCTS,0.0,19.0,30.0,6.0,RHEA,MCTS1,RHEA1,4,MCTS,4,2,2,1,1,3,RHEA,3,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,3
-1045114351,Root,0,GAME_OVER,935,39,4,19,MCTS,6.0,14.0,31.0,26.0,RHEA,MCTS1,RHEA1,4,MCTS,4,3,3,1,1,2,RHEA,2,MCTS1,RHEA1,RHEA,MCTS,RHEA1,MCTS1,3
265098663,Root,0,GAME_OVER,746,40,4,20,MCTS,15.0,0.0,12.0,24.0,RHEA,RHEA1,MCTS1,2,MCTS,2,4,4,3,3,1,RHEA,1,RHEA1,MCTS1,RHEA,MCTS,MCTS1,RHEA1,0
1028673814,Root,0,GAME_OVER,309,20,4,21,MCTS,1.0,0.0,3.0,13.0,RHEA,RHEA1,MCTS1,3,MCTS,3,4,4,2,2,1,RHEA,1,RHEA1,MCTS1,RHEA,MCTS,MCTS1,RHEA1,0
-862709668,Root,0,GAME_OVER,878,50,4,22,MCTS,17.0,13.0,4.0,32.0,RHEA,RHEA1,MCTS1,2,MCTS,2,3,3,4,4,1,RHEA,1,RHEA1,MCTS1,RHEA,MCTS,MCTS1,RHEA1,2
-217395547,Root,0,GAME_OVER,872,44,4,23,MCTS,3.0,0.0,7.0,21.0,RHEA,RHEA1,MCTS1,3,MCTS,3,4,4,2,2,1,RHEA,1,RHEA1,MCTS1,RHEA,MCTS,MCTS1,RHEA1,0
-845120214,Root,0,GAME_OVER,470,28,4,24,MCTS,13.0,0.0,3.0,7.0,RHEA,RHEA1,MCTS1,1,MCTS,1,4,4,3,3,2,RHEA,2,RHEA1,MCTS1,RHEA,MCTS,MCTS1,RHEA1,0
